movieInfo,quote,star,title
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...;1994 / 美国 / 犯罪剧情;;,希望让人自由。,9,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台)
movieInfo,quote,star,title
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...;1994 / 美国 / 犯罪剧情;;,希望让人自由。,9,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台)
导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...;2010 / 美国 / 剧情喜剧爱情;;,真正的幸福是来自内心深处。,8,怦然心动 / Flipped / 萌动青春  /  青春萌动
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...;2002 / 美国新西兰 / 剧情动作奇幻冒险;;,承前启后的史诗篇章。,9,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔
导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...;2004 / 美国加拿大 / 剧情悬疑科幻惊悚;;,人的命运被自己瞬间的抉择改变。,8,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应
导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...;2002 / 巴西法国 / 犯罪剧情;;,被上帝抛弃了的上帝之城。,8,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台)
导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...;2003 / 英国美国法国 / 喜剧剧情爱情;;,爱，是个动词。,8,真爱至上 / Love Actually / 爱是您，爱是我(台)  /  真的恋爱了(港)
导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...;1991 / 香港 / 剧情喜剧动作犯罪;;,香港浪漫主义警匪动作片的巅峰之作。,8,纵横四海 / 緃横四海 / Once a Thief
导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...;2016 / 美国澳大利亚 / 剧情传记历史战争;;,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8,血战钢锯岭 / Hacksaw Ridge / 钢锯岭  /  钢铁英雄(台)
导演:雷德利·斯科特RidleyScott   主演:吉娜·戴维斯GeenaDavis/苏...;1991 / 美国法国 / 犯罪剧情惊悚;;,没有了退路，只好飞向自由。,8,末路狂花 / Thelma & Louise / 塞尔玛与路易丝  /  末路狂花
导演:安东尼·明格拉AnthonyMinghella   主演:拉尔夫·费因斯RalphFien...;1996 / 美国英国 / 爱情剧情战争;;,"In memory, love lives forever...",8,英国病人 / The English Patient / 英伦情人(台)  /  别问我是谁(港)
movieInfo,quote,star,title
导演:弗兰克·德拉邦特FrankDarabont   主演:蒂姆·罗宾斯TimRobbins/...;1994 / 美国 / 犯罪剧情;;,希望让人自由。,9,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台)
导演:陈凯歌KaigeChen   主演:张国荣LeslieCheung/张丰毅FengyiZha...;1993 / 中国大陆香港 / 剧情爱情同性;;,风华绝代。,9,霸王别姬 / 再见，我的妾  /  Farewell My Concubine
导演:吕克·贝松LucBesson   主演:让·雷诺JeanReno/娜塔莉·波特曼...;1994 / 法国 / 剧情动作犯罪;;,怪蜀黍和小萝莉不得不说的故事。,9,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台)
导演:RobertZemeckis   主演:TomHanks/RobinWrightPenn/GarySinise;1994 / 美国 / 剧情爱情;;,一部美国近现代史。,9,阿甘正传 / Forrest Gump / 福雷斯特·冈普
导演:罗伯托·贝尼尼RobertoBenigni   主演:罗伯托·贝尼尼RobertoBeni...;1997 / 意大利 / 剧情喜剧爱情战争;;,最美的谎言。,9,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful
导演:宫崎骏HayaoMiyazaki   主演:柊瑠美RumiHîragi/入野自由Miy...;2001 / 日本 / 剧情动画奇幻;;,最好的宫崎骏，最好的久石让。 ,9,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away
导演:詹姆斯·卡梅隆JamesCameron   主演:莱昂纳多·迪卡普里奥Leonardo...;1997 / 美国 / 剧情爱情灾难;;,失去的才是永恒的。 ,9,泰坦尼克号 / Titanic / 铁达尼号(港 / 台)
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:连姆·尼森LiamNeeson...;1993 / 美国 / 剧情历史战争;;,拯救一个人，就是拯救整个世界。,9,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单
导演:克里斯托弗·诺兰ChristopherNolan   主演:莱昂纳多·迪卡普里奥Le...;2010 / 美国英国 / 剧情科幻悬疑冒险;;,诺兰给了我们一场无法盗取的梦。,9,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台)
导演:安德鲁·斯坦顿AndrewStanton   主演:本·贝尔特BenBurtt/艾丽...;2008 / 美国 / 爱情科幻动画冒险;;,小瓦力，大人生。,9,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港)
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:蒂姆·罗斯TimRoth/...;1998 / 意大利 / 剧情音乐;;,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇
导演:拉库马·希拉尼RajkumarHirani   主演:阿米尔·汗AamirKhan/卡...;2009 / 印度 / 剧情喜剧爱情歌舞;;,英俊版憨豆，高情商版谢耳朵。,9,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港)
导演:莱塞·霍尔斯道姆LasseHallström   主演:理查·基尔RichardGer...;2009 / 美国英国 / 剧情;;,永远都不能忘记你所爱的人。,9,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港)
导演:克里斯托夫·巴拉蒂ChristopheBarratier   主演:杰拉尔·朱诺Géra...;2004 / 法国瑞士德国 / 剧情音乐;;,天籁一般的童声，是最接近上帝的存在。 ,9,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩
导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...;1995 / 香港中国大陆 / 喜剧爱情奇幻冒险;;,一生所爱。,9,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记
导演:彼得·威尔PeterWeir   主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...;1998 / 美国 / 剧情科幻;;,如果再也不能见到你，祝你早安，午安，晚安。,9,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏
导演:宫崎骏HayaoMiyazaki   主演:日高法子NorikoHidaka/坂本千夏Ch...;1988 / 日本 / 儿童动画奇幻家庭;;,人人心中都有个龙猫，童年就永远不会消失。,9,龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:马龙·白兰度M...;1972 / 美国 / 剧情犯罪;;,千万不要记恨你的对手，这样会让你失去理智。,9,教父 / The Godfather / Mario Puzo's The Godfather
导演:黄东赫Dong-hyukHwang   主演:孔侑YooGong/郑有美Yu-miJeong...;2011 / 韩国 / 剧情;;,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡
导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...;2014 / 美国英国加拿大冰岛 / 剧情科幻冒险;;,爱是一种力量，让我们超越时空感知它的存在。,9,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台)
导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:托...;1939 / 美国 / 剧情历史爱情战争;;,Tomorrow is another day.,9,乱世佳人 / Gone with the Wind / 飘
导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano   主...;2011 / 法国 / 剧情喜剧;;,满满温情的高雅喜剧。,9,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台)
导演:刘伟强/麦兆辉   主演:刘德华/梁朝伟/黄秋生;2002 / 香港 / 剧情犯罪悬疑;;,香港电影史上永不过时的杰作。,9,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou
导演:加布里尔·穆奇诺GabrieleMuccino   主演:威尔·史密斯WillSmith...;2006 / 美国 / 剧情传记家庭;;,平民励志片。 ,8,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:安东娜拉·塔莉Antonel...;1988 / 意大利法国 / 剧情爱情;;,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台)
导演:罗伯·莱纳RobReiner   主演:玛德琳·卡罗尔MadelineCarroll/卡...;2010 / 美国 / 剧情喜剧爱情;;,真正的幸福是来自内心深处。,8,怦然心动 / Flipped / 萌动青春  /  青春萌动
导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...;1957 / 美国 / 剧情;;,1957年的理想主义。 ,9,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉
导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...;1999 / 美国德国 / 剧情动作悬疑惊悚;;,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台)
导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...;2012 / 美国台湾英国加拿大 / 剧情奇幻冒险;;,瑰丽壮观、无人能及的冒险之旅。,9,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi
导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...;2000 / 中国大陆 / 剧情历史战争;;,对敌人的仁慈，就是对自己残忍。,9,鬼子来了 / Devils on the Doorstep
导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...;2008 / 美国英国 / 剧情动作科幻犯罪惊悚;;,无尽的黑暗。,9,蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台)
导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang;1994 / 中国大陆香港 / 剧情历史家庭;;,张艺谋最好的电影。,9,活着 / 人生  /  Lifetimes
导演:彼得·杰克逊PeterJackson   主演:维果·莫腾森ViggoMortensen/...;2003 / 美国新西兰 / 剧情动作奇幻冒险;;,史诗的终章。,9,指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) 
导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...;1986 / 日本 / 动画奇幻冒险;;,对天空的追逐，永不停止。 ,9,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky
导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore   主演:金妮弗·...;2016 / 美国 / 喜剧动画冒险;;,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台)
导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...;1995 / 香港中国大陆 / 喜剧爱情奇幻冒险;;,旷古烁今。,8,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记
导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...;1953 / 美国 / 喜剧剧情爱情;;,爱情哪怕只有一天。,8,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台)
导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...;2009 / 美国 / 剧情喜剧动画冒险;;,最后那些最无聊的事情，才是最值得怀念的。 ,8,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台)
导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck   ...;2006 / 德国 / 剧情悬疑;;,别样人生。,9,窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活
导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran;1998 / 英国 / 剧情喜剧犯罪;;,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)"
导演:比利·怀尔德BillyWilder   主演:查尔斯·劳顿CharlesLaughton/...;1957 / 美国 / 剧情犯罪悬疑;;,比利·怀德满分作品。,9,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇
导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...;1975 / 美国 / 剧情;;,自由万岁。,9,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝(台)  /  飞越喜鹊巢
导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...;1992 / 美国 / 剧情;;,史上最美的探戈。,8,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香
导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...;2004 / 日本 / 动画奇幻冒险;;,带着心爱的人在天空飞翔。,8,哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡
导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...;2009 / 美国 / 纪录片;;,海豚的微笑，是世界上最高明的伪装。,9,海豚湾 / The Cove / 血色海湾(台)  /  海湾
导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...;2005 / 美国英国德国 / 剧情动作科幻惊悚;;,一张面具背后的理想与革命。,8,V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台)
导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...;2013 / 韩国 / 剧情;;,电影的现实意义大过电影本身。,9,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台)
导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...;1989 / 美国 / 剧情;;,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台)
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...;1974 / 美国 / 剧情犯罪;;,优雅的孤独。,9,教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II
导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/詹妮弗·...;2001 / 美国 / 传记剧情;;,爱是一切逻辑和原由。,8,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台)
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...;2002 / 美国新西兰 / 剧情动作奇幻冒险;;,承前启后的史诗篇章。,9,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔
导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...;2001 / 新西兰美国 / 剧情动作奇幻冒险;;,传说的开始。,8,指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者
导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...;1995 / 日本 / 剧情爱情;;,暗恋的极致。,8,情书 / Love Letter / When I Close My Eyes  /  Letters of Love
导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...;1994 / 台湾美国 / 剧情家庭;;,人生不能像做菜，把所有的料都准备好了才下锅。,9,饮食男女 / 飲食男女 / Eat Drink Man Woman
导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...;2016 / 印度 / 剧情传记运动家庭;;,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9,摔跤吧！爸爸 / Dangal / 我和我的冠军女儿(台)  /  打死不离3父女(港)
导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...;1984 / 意大利美国 / 犯罪剧情;;,往事如烟，无处祭奠。,9,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港)
导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...;1994 / 美国 / 剧情动画冒险歌舞家庭;;,动物版《哈姆雷特》。,8,狮子王 / The Lion King / 狮子王3D
导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...;2002 / 法国德国英国波兰 / 剧情传记历史战争音乐;;,音乐能化解仇恨。,9,钢琴家 / The Pianist / 战地琴声(台)  /  战地琴人
导演:让-皮埃尔·热内Jean-PierreJeunet   主演:奥黛丽·塔图AudreyTau...;2001 / 法国德国 / 喜剧爱情;;,法式小清新。 ,8,天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉
导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...;2013 / 韩国 / 剧情;;,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9,素媛 / 소원 / 许愿  /  希望：为爱重生(台)
导演:大卫·芬奇DavidFincher   主演:摩根·弗里曼MorganFreeman/布...;1995 / 美国 / 剧情犯罪悬疑惊悚;;,警察抓小偷，老鼠玩死猫。,8,七宗罪 / Se7en / 火线追缉令(台)  /  7宗罪
导演:马基德·马基迪MajidMajidi   主演:AmirFarrokhHashemian/默罕...;1997 / 伊朗 / 剧情家庭儿童;;,奔跑的孩子是天使。,9,小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋
导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...;2006 / 日本 / 剧情歌舞;;,以戏谑来戏谑戏谑。,8,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台)
导演:克里斯托弗·诺兰ChristopherNolan   主演:休·杰克曼HughJackman...;2006 / 美国英国 / 剧情悬疑惊悚;;,孪生蝙蝠侠大战克隆金刚狼。,8,致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港)
导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...;2016 / 西班牙 / 剧情犯罪悬疑惊悚;;,你以为你以为的就是你以为的。,8,看不见的客人 / Contratiempo / 佈局(台)  /  死无对证(港)
导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...;1965 / 美国 / 剧情传记爱情歌舞;;,用音乐化解仇恨，让歌声串起美好。,8,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台)
导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...;1995 / 美国 / 动作传记剧情历史战争;;,史诗大片的典范。,8,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台)
导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...;1990 / 美国 / 剧情奇幻爱情;;,浪漫忧郁的成人童话。,8,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华
导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...;2008 / 美国 / 剧情爱情奇幻;;,在时间之河里感受溺水之苦。,8,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童
导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...;1994 / 美国 / 剧情喜剧犯罪;;,故事的高级讲法。,8,低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港)
导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...;2000 / 意大利美国 / 剧情战争情色;;,美丽无罪。,8,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜
导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...;1999 / 美国澳大利亚 / 动作科幻;;,视觉革命。,8,黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台)
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...;1998 / 美国 / 剧情历史战争;;,美利坚精神输出大片No1.,8,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台)
导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安...;1991 / 美国 / 剧情犯罪惊悚;;,安东尼·霍普金斯的顶级表演。,8,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊
