movieInfo,quote,star,title
导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...;2008 / 日本 / 剧情;;,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台)
导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主...;2004 / 美国加拿大 / 剧情悬疑科幻惊悚;;,人的命运被自己瞬间的抉择改变。,8,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应
导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...;2010 / 中国大陆香港 / 剧情喜剧动作西部;;,你给我翻译翻译，神马叫做TMD的惊喜。,8,让子弹飞 / 让子弹飞一会儿  /  火烧云
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...;1997 / 香港日本韩国 / 剧情爱情同性;;,爱情纠缠，男女一致。,8,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together
导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...;2009 / 澳大利亚 / 剧情动画;;,你是我最好的朋友，你是我唯一的朋友 。,8,玛丽和马克思 / Mary and Max / 巧克力情缘(台)  /  同是天涯寂寞客
导演:万籁鸣LaimingWan/唐澄ChengTang   主演:邱岳峰YuefengQiu/...;1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆) / 中国大陆 / 动画奇幻;;,经典之作，历久弥新。,9,大闹天宫 / 大闹天宫 上下集  /  The Monkey King
导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...;1997 / 美国 / 剧情;;,人生中应该拥有这样的一段豁然开朗。,8,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手
导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...;1987 / 意大利中国大陆英国法国 / 剧情传记历史;;,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,8,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)
导演:姜文WenJiang   主演:夏雨YuXia/宁静JingNing/陶虹HongTao;1994 / 中国大陆香港 / 剧情;;,一场华丽的意淫。,8,阳光灿烂的日子 / In the Heat of the Sun
导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...;1997 / 日本 / 动作爱情战争动画奇幻冒险;;,人与自然的战争史诗。,8,幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女
导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...;1999 / 美国 / 剧情悬疑惊悚;;,深入内心的恐怖，出人意料的结局。,8,第六感 / The Sixth Sense / 灵异第六感  /  鬼眼
导演:王家卫KarWaiWong   主演:林青霞BrigitteLin/金城武TakeshiK...;1994 / 香港 / 剧情爱情;;,寂寞没有期限。,8,重庆森林 / 重慶森林 / Chungking Express
导演:MartinScorsese   主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio/...;2010 / 美国 / 剧情悬疑惊悚;;,昔日翩翩少年，今日大腹便便。,8,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台)
导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...;2014 / 美国德国英国 / 剧情喜剧冒险;;,小清新的故事里注入了大历史的情怀。,8,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)
导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...;2003 / 美国 / 剧情家庭奇幻冒险;;,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台)
导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint;2001 / 美国英国 / 奇幻冒险;;,童话世界的开端。,8,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) 
导演:托马斯·温特伯格ThomasVinterberg   主演:麦斯·米科尔森MadsMik...;2012 / 丹麦瑞典 / 剧情;;,人言可畏。,9,狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港)
导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...;1993 / 香港 / 喜剧古装;;,百看不厌。 ,8,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本)
导演:JamesMangold   主演:JohnCusack/RayLiotta/AmandaPeet;2003 / 美国 / 剧情悬疑惊悚;;,最不可能的那个人永远是最可能的。,8,致命ID / Identity / 杀人游戏  /  致命身份
导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...;1996 / 香港 / 剧情爱情;;,相逢只要一瞬间，等待却像是一辈子。,8,甜蜜蜜 / Comrades: Almost a Love Story
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...;2002 / 美国加拿大 / 传记犯罪剧情;;,骗子大师和执著警探的你追我跑故事。 ,8,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台)
导演:李安AngLee   主演:希斯·莱杰HeathLedger/杰克·吉伦哈尔Jake...;2005 / 美国加拿大 / 剧情爱情同性家庭;;,每个人心中都有一座断背山。,8,断背山 / Brokeback Mountain / 断臂山
导演:杨德昌EdwardYang   主演:吴念真/李凯莉KellyLee/金燕玲Elai...;2000 / 台湾日本 / 剧情爱情家庭;;,我们都曾经是一一。,8,一一 / Yi yi  /  Yi yi: A One and a Two
导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...;2010 / 日本 / 剧情惊悚;;,没有一人完全善，也没有一人完全恶。,8,告白 / 自白  /  母亲
导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...;2011 / 韩国 / 剧情喜剧;;,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼
导演:戈尔·维宾斯基GoreVerbinski   主演:约翰尼·德普JohnnyDepp/...;2003 / 美国 / 动作冒险奇幻;;,约翰尼·德普的独角戏。,8,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)
导演:KátiaLund/FernandoMeirelles   主演:AlexandreRodrigues/Lea...;2002 / 巴西法国 / 犯罪剧情;;,被上帝抛弃了的上帝之城。,8,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台)
导演:查理·卓别林CharlesChaplin   主演:查理·卓别林CharlesChaplin...;1936 / 美国 / 喜剧剧情爱情;;,大时代中的人生，小人物的悲喜。,9,"摩登时代 / Modern Times / The Masses  /  Temps modernes, Les"
导演:马克·赫门MarkHerman   主演:阿沙·巴特菲尔德AsaButterfield/...;2008 / 英国美国 / 剧情战争;;,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,8,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩
导演:詹姆斯·卡梅隆JamesCameron   主演:萨姆·沃辛顿SamWorthington...;2009 / 美国英国 / 动作战争科幻冒险;;,绝对意义上的美轮美奂。,8,阿凡达 / Avatar / 天神下凡(港)  /  化身
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...;1995 / 美国奥地利瑞士 / 剧情爱情;;,缘分是个连绵词，最美不过一瞬。,8,爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台)
导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...;2014 / 美国 / 剧情犯罪悬疑惊悚;;,年度最佳date movie。,8,消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩
导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...;1984 / 日本 / 科幻动画奇幻冒险;;,动画片的圣经。,8,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika
导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...;2004 / 美国 / 剧情爱情;;,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8,爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台)
导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...;1995 / 日本 / 剧情爱情动画音乐;;,少女情怀总是诗。,8,侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女
导演:今敏SatoshiKon   主演:林原惠美MegumiHayashibara/古谷彻T...;2006 / 日本 / 动画悬疑科幻惊悚;;,梦的勾结。,8,红辣椒 / パプリカ / 盗梦侦探  /  帕布莉卡
导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...;1987 / 香港 / 剧情爱情武侠古装;;,两张绝世的脸。 ,8,倩女幽魂 / 倩女幽魂(87版)  /  A Chinese Ghost Story
导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...;2011 / 美国 / 剧情;;,穷尽一生，我们要学会的，不过是彼此拥抱。,8,超脱 / Detachment / 人间师格(台)
导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...;2013 / 韩国 / 剧情犯罪悬疑;;,恐怖分子的“秋菊打官司”。,8,恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台)
导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...;2010 / 美国 / 喜剧动画奇幻冒险家庭;;,和谐的生活离不开摸头与被摸头。,8,驯龙高手 / How to Train Your Dragon / 驯龙记(港)
导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子;1988 / 日本 / 动画剧情战争;;,幸福是生生不息，却难以触及的远。 ,8,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌
导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...;2004 / 美国 / 喜剧剧情爱情;;,有时候幸福需要等一等。 ,8,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台)
导演:北野武TakeshiKitano   主演:北野武TakeshiKitano/关口雄介Yus...;1999 / 日本 / 剧情喜剧;;,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8,菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天
导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...;2014 / 日本 / 剧情;;,那些静得只能听见呼吸的日子里，你明白孤独即生活。,8,小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台) 
导演:周星驰StephenChow/李力持Lik-ChiLee   主演:周星驰StephenCh...;1999 / 香港 / 喜剧剧情爱情;;,我是一个演员。,8,喜剧之王 / 喜劇之王 / King of Comedy
导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...;1954 / 日本 / 动作冒险剧情;;,时代悲歌。,9,七武士 / 七人の侍 / 七侠四义(港)  /  The Seven Samurai
导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...;2010 / 日本 / 动画奇幻冒险;;,曾经的那段美好会沉淀为一辈子的记忆。,8,借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港)
导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...;2010 / 香港中国大陆 / 剧情家庭;;,岁月流逝，来日可追。,8,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow
导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...;2010 / 美国法国 / 喜剧动画冒险;;,Mr. I Don't Care其实也有Care的时候。,8,神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港)
导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/金相庆Sang-kyun...;2003 / 韩国 / 犯罪剧情悬疑惊悚;;,关于连环杀人悬案的集体回忆。,8,杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录
导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud   主演:...;2009 / 法国瑞士西班牙美国阿联酋 / 纪录片;;,大海啊，不全是水。,9,海洋 / Océans / Oceans  /  海洋
导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...;2003 / 英国美国法国 / 喜剧剧情爱情;;,爱，是个动词。,8,真爱至上 / Love Actually / 爱是您，爱是我(台)  /  真的恋爱了(港)
导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...;2004 / 美国 / 悬疑惊悚恐怖;;,真相就在眼前。,8,电锯惊魂 / Saw / 夺魂锯(台)  /  恐惧斗室(港)
导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...;2008 / 英国美国 / 剧情爱情;;,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,8,贫民窟的百万富翁 / Slumdog Millionaire / 贫民百万富翁(台)  /  一百万零一夜(港)
导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...;2007 / 美国德国 / 动作悬疑惊悚;;,像吃了苏打饼一样干脆的电影。,8,谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台)
导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...;1993 / 台湾美国 / 剧情喜剧爱情同性家庭;;,中国家庭的喜怒哀乐忍。,8,喜宴 / 囍宴 / The Wedding Banquet
导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/张曼玉MaggieC...;1994 / 香港台湾 / 剧情动作爱情武侠古装;;,电影诗。,8,东邪西毒 / 東邪西毒 / Ashes of Time
导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...;2000 / 美国 / 犯罪剧情悬疑惊悚;;,一个针管引发的血案。,8,记忆碎片 / Memento / 失忆  /  记忆拼图(台)
导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...;1988 / 美国 / 剧情;;,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,8,雨人 / Rain Man / 手足情未了  /  手足情深
导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...;2001 / 美国 / 儿童喜剧动画奇幻冒险;;,不要给它起名字，起了名字就有感情了。,8,"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司"
导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...;2010 / 美国 / 剧情惊悚;;,黑暗之美。,8,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名)
导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...;1986 / 香港 / 动作犯罪;;,英雄泪短，兄弟情长。 ,8,英雄本色 / A Better Tomorrow  /  Gangland Boss
导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...;2013 / 美国 / 喜剧动画冒险;;,老少皆宜，这就是好莱坞动画的魅力。,8,疯狂原始人 / The Croods / 古鲁家族(港 / 台) 
导演:爱德华·兹威克EdwardZwick   主演:安东尼·霍普金斯AnthonyHopki...;1994 / 美国 / 剧情爱情西部家庭;;,传奇，不是每个人都可以拥有。,8,燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台)
导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...;2004 / 英国南非意大利美国 / 剧情历史战争;;,当这个世界闭上双眼，他却敞开了怀抱。,8,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台)
导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...;1966 / 法国英国 / 喜剧战争;;,永远看不腻的喜剧。,8,虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台)
导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...;2015 / 日本 / 剧情;;,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,8,小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台) 
导演:李焕庆Hwan-kyeongLee   主演:柳承龙Seung-yongRyoo/朴信惠Shi...;2013 / 韩国 / 剧情喜剧家庭;;,《我是山姆》的《美丽人生》。,8,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物
导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...;2004 / 美国 / 剧情爱情;;,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,8,恋恋笔记本 / The Notebook / 深情日记  /  写我情真
导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...;2005 / 法国英国美国 / 剧情爱情;;,爱是摈弃傲慢与偏见之后的曙光。,8,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice
导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...;2016 / 美国 / 剧情家庭;;,我们都有权利不与自己的过去和解。,8,海边的曼彻斯特 / Manchester by the Sea / 情系海边之城(港)  /  海曼
导演:大卫·叶茨DavidYates   主演:丹尼尔·雷德克里夫DanielRadcliffe...;2011 / 美国英国 / 剧情悬疑奇幻冒险;;,10年的完美句点。,8,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) 
导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...;2011 / 日本 / 剧情爱情动画奇幻;;,触不到的恋人。,8,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e
导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...;1993 / 美国 / 剧情犯罪;;,坏人的好总是比好人的好来得更感人。,9,完美的世界 / A Perfect World / 强盗保镳
导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...;1990 / 美国 / 剧情犯罪;;,任何信念的力量，都无法改变命运。,8,教父3 / The Godfather: Part III / 教父第三集  /  教父 III
导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...;2014 / 阿根廷西班牙 / 剧情喜剧犯罪;;,始于荒诞，止于更荒诞。,8,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台)
导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...;1991 / 香港 / 剧情喜剧动作犯罪;;,香港浪漫主义警匪动作片的巅峰之作。,8,纵横四海 / 緃横四海 / Once a Thief
导演:郭柯KeGuo   主演:;2015 / 中国大陆 / 纪录片;;,有一些东西不应该被遗忘。,8,二十二 / Twenty Two  /  22
导演:MervynLeRoy   主演:VivienLeigh/RobertTaylor/LucileWatson;1940 / 美国 / 剧情战争爱情;;,中国式内在的美国电影。,8,魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦
导演:丹尼·博伊尔DannyBoyle   主演:伊万·麦克格雷格EwanMcGregor/...;1996 / 英国 / 犯罪剧情;;,不可猜的青春迷笛。 ,8,猜火车 / Trainspotting / 迷幻列车(港)  /  定位的火车
导演:细田守MamoruHosoda   主演:仲里依纱RiisaNaka/石田卓也Takuya...;2006 / 日本 / 剧情爱情科幻动画;;,爱上未来的你。 ,8,穿越时空的少女 / 時をかける少女 / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo
导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...;2010 / 美国 / 喜剧动画奇幻冒险;;,跨度十五年的欢乐与泪水。,8,玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3
导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...;2000 / 香港法国 / 剧情爱情;;,偷情本没有这样美。,8,花样年华 / 花樣年華 / In the Mood for Love
导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...;1952 / 美国 / 喜剧歌舞爱情;;,骨灰级歌舞片。,9,雨中曲 / Singin' in the Rain / 雨中情  /  万花嬉春
导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...;2014 / 中国大陆 / 剧情犯罪悬疑;;,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8,心迷宫 / 殡棺  /  The Coffin in the Mountain
导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格利森DomhnallGl...;2013 / 英国 / 剧情爱情奇幻;;,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8,时空恋旅人 / About Time / 时空旅恋人  /  回到最爱的一天(港)
导演:李力持Lik-ChiLee   主演:周星驰StephenChow/巩俐LiGong/陈...;1993 / 香港 / 喜剧爱情古装;;,华太师是黄霑，吴镇宇四大才子之一。,8,唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar
导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...;2014 / 美国 / 喜剧动作科幻动画冒险;;,Balalala~~~,8,超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台)
导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...;2001 / 美国 / 剧情家庭;;,爱并不需要智商 。,8,我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台)
